canonical_person_id,name,dataset_count,independent_source_family_count,datasets,source_families,evidence_types,source_locators
ray-cortese,Ray Cortese,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:18; a_faithful_pca_2022-03-14::signature:18; national_partnership_confirmed_members::confirmed_member:117:ray cortese
richard-schwartz,Richard Schwartz,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:403; a_faithful_pca_2022-03-14::signature:413; national_partnership_confirmed_members::confirmed_member:120:richard schwartz
robbie-schmidtberger,Robbie Schmidtberger,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:218; a_faithful_pca_2022-03-14::signature:236; national_partnership_confirmed_members::confirmed_member:124:robbie schmidtberger
ron-lutjens,Ron Lutjens,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:289; a_faithful_pca_2022-03-14::signature:305; warhurst_protest_2019::print_order:184
ryan-baker,Ryan Baker,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:382; a_faithful_pca_2022-03-14::signature:392; warhurst_protest_2019::print_order:3
ryan-brown,Ryan Brown,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:274; a_faithful_pca_2022-03-14::signature:290; nae_withdrawal_protest_2022::print_order:27
sammy-rhodes,Sammy Rhodes,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; ruf_campus_catalog_2025,a_faithful_pca; institution_reformed-university-fellowship,public_letter_signature; ruf_campus_role_snapshot,a_faithful_pca_2021-06-11::signature:248; a_faithful_pca_2022-03-14::signature:266; ruf_campus_catalog_2025::catalog-role:329:page:316
scott-brown,Scott Brown,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:182; a_faithful_pca_2022-03-14::signature:201; warhurst_protest_2019::print_order:137
scott-seaton,Scott Seaton,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:46; a_faithful_pca_2022-03-14::signature:66; warhurst_protest_2019::print_order:170
scott-stewart,Scott Stewart,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:490; a_faithful_pca_2022-03-14::signature:493; overture_15_negative_votes_2022::print_order:169
shane-gibson,Shane Gibson,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:88; a_faithful_pca_2022-03-14::signature:108; national_partnership_confirmed_members::confirmed_member:135:shane gibson
spencer-thomas,Spencer Thomas,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:470; a_faithful_pca_2022-03-14::signature:475; overture_15_negative_votes_2022::print_order:179
steven-chitty,Steven Chitty,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:307; a_faithful_pca_2022-03-14::signature:323; warhurst_protest_2019::print_order:18
steven-cooper,Steven Cooper,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:523; a_faithful_pca_2022-03-14::signature:519; warhurst_protest_2019::print_order:158
thurman-williams,Thurman Williams,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:24; a_faithful_pca_2022-03-14::signature:24; nae_withdrawal_protest_2022::print_order:197
travis-drake,Travis Drake,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:423; a_faithful_pca_2022-03-14::signature:432; warhurst_protest_2019::print_order:83
vincent-hoppe,Vincent Hoppe,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:562; a_faithful_pca_2022-03-14::signature:554; overture_15_negative_votes_2022::print_order:67
wayne-larson,Wayne Larson,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:198; a_faithful_pca_2022-03-14::signature:666; national_partnership_confirmed_members::confirmed_member:147:wayne larson
worth-carson,Worth Carson,3,2,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2021-06-11::signature:34; a_faithful_pca_2022-03-14::signature:54; national_partnership_confirmed_members::confirmed_member:151:worth carson
aaron-collier,Aaron Collier,2,2,a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2022-03-14::signature:590; overture_15_negative_votes_2022::print_order:32
andrew-kim,Andrew Kim,2,2,overture_15_negative_votes_2022; warhurst_protest_2019,overture_15_negative_votes_2022; warhurst_protest_2019,formal_protest_signature; recorded_negative_vote,overture_15_negative_votes_2022::print_order:88; warhurst_protest_2019::print_order:11
andrew-shank,Andrew Shank,2,2,overture_15_negative_votes_2022; overture_37_minority_2021,overture_15_negative_votes_2022; overture_37_minority_2021,minority_report_signature; recorded_negative_vote,overture_15_negative_votes_2022::print_order:159; overture_37_minority_2021::print_order:22
ben-hein,Ben Hein,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:65; overture_15_negative_votes_2022::print_order:63
ben-melchers,Ben Melchers,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:120; overture_15_negative_votes_2022::print_order:122
bevan-houston,Bevan Houston,2,2,a_faithful_pca_2022-03-14; overture_37_minority_2021,a_faithful_pca; overture_37_minority_2021,minority_report_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:633; overture_37_minority_2021::print_order:11
bradley-barnes,Bradley Barnes,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:593; warhurst_protest_2019::print_order:188
bruce-o-neil,Bruce O’Neil,2,2,national_partnership_confirmed_members; warhurst_protest_2019,national_partnership; warhurst_protest_2019,formal_organization_membership; formal_protest_signature,national_partnership_confirmed_members::confirmed_member:19:bruce o neil; warhurst_protest_2019::print_order:33
bryan-chapell,Bryan Chapell,2,2,formal_position_2008-overture-9-deaconess-study-minority-report; formal_position_2009-overture-10-women-roles-study-minority-report,ga_2008_formal_positions; ga_2009_formal_positions,formal_report_concurrence,formal_position_2008-overture-9-deaconess-study-minority-report::2008-overture-9-deaconess-study-minority-report:signer:13; formal_position_2009-overture-10-women-roles-study-minority-report::2009-overture-10-women-roles-study-minority-report:signer:8
charles-mcknight,Charles McKnight,2,2,institution_mission-to-north-america; warhurst_protest_2019,institution_mission-to-north-america; warhurst_protest_2019,formal_protest_signature; institutional_role,institution_mission-to-north-america::role:296:mission-to-north-america:line:107; warhurst_protest_2019::print_order:2
christopher-stokes,Christopher Stokes,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:164; overture_15_negative_votes_2022::print_order:170
dan-carrell,Dan Carrell,2,2,formal_position_2008-overture-9-deaconess-study-minority-report; formal_position_2009-overture-10-women-roles-study-minority-report,ga_2008_formal_positions; ga_2009_formal_positions,formal_report_concurrence,formal_position_2008-overture-9-deaconess-study-minority-report::2008-overture-9-deaconess-study-minority-report:signer:11; formal_position_2009-overture-10-women-roles-study-minority-report::2009-overture-10-women-roles-study-minority-report:signer:15
david-dickson,David Dickson,2,2,formal_position_2008-overture-9-deaconess-study-minority-report; formal_position_2009-overture-10-women-roles-study-minority-report,ga_2008_formal_positions; ga_2009_formal_positions,formal_report_concurrence,formal_position_2008-overture-9-deaconess-study-minority-report::2008-overture-9-deaconess-study-minority-report:signer:17; formal_position_2009-overture-10-women-roles-study-minority-report::2009-overture-10-women-roles-study-minority-report:signer:22
david-palma,David Palma,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:127; overture_15_negative_votes_2022::print_order:132
david-westerfield,David Westerfield,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:715; warhurst_protest_2019::print_order:38
george-koontz,George Koontz,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:97; overture_15_negative_votes_2022::print_order:94
greg-schneeberger,Greg Schneeberger,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:578; warhurst_protest_2019::print_order:78
hugh-barlett,Hugh Barlett,2,2,a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:50; nae_withdrawal_protest_2022::print_order:10
jack-watkins,Jack Watkins,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:190; overture_15_negative_votes_2022::print_order:186
jake-patton,Jake Patton,2,2,overture_15_negative_votes_2022; warhurst_protest_2019,overture_15_negative_votes_2022; warhurst_protest_2019,formal_protest_signature; recorded_negative_vote,overture_15_negative_votes_2022::print_order:134; warhurst_protest_2019::print_order:178
james-martin,James Martin,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:115; overture_15_negative_votes_2022::print_order:119
james-partridge,James Partridge,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:128; overture_15_negative_votes_2022::print_order:133
jared-huffman,Jared Huffman,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:72; overture_15_negative_votes_2022::print_order:69
jeff-wreyford,Jeff Wreyford,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:200; overture_15_negative_votes_2022::print_order:197
jeffrey-hynds,Jeffrey Hynds,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:74; overture_15_negative_votes_2022::print_order:71
jeffrey-lancaster,Jeffrey Lancaster,2,2,formal_position_2008-overture-9-deaconess-study-minority-report; formal_position_2009-overture-10-women-roles-study-minority-report,ga_2008_formal_positions; ga_2009_formal_positions,formal_report_concurrence,formal_position_2008-overture-9-deaconess-study-minority-report::2008-overture-9-deaconess-study-minority-report:signer:4; formal_position_2009-overture-10-women-roles-study-minority-report::2009-overture-10-women-roles-study-minority-report:signer:11
jeremy-kemp,Jeremy Kemp,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:84; overture_15_negative_votes_2022::print_order:84
jerry-stutzman,Jerry Stutzman,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:166; overture_15_negative_votes_2022::print_order:173
joe-brand,Joe Brand,2,2,a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:625; nae_withdrawal_protest_2022::print_order:19
john-baber,John Baber,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:7; overture_15_negative_votes_2022::print_order:7
john-craft,John Craft,2,2,a_faithful_pca_2022-03-14; ruf_campus_catalog_2025,a_faithful_pca; institution_reformed-university-fellowship,public_letter_signature; ruf_campus_role_snapshot,a_faithful_pca_2022-03-14::signature:586; ruf_campus_catalog_2025::catalog-role:169:page:165
jon-talley,Jon Talley,2,2,nae_withdrawal_protest_2022; warhurst_protest_2019,nae_withdrawal_protest_2022; warhurst_protest_2019,formal_protest_signature,nae_withdrawal_protest_2022::print_order:172; warhurst_protest_2019::print_order:157
josh-spears,Josh Spears,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:567; warhurst_protest_2019::print_order:92
justin-chappell,Justin Chappell,2,2,overture_15_negative_votes_2022; warhurst_protest_2019,overture_15_negative_votes_2022; warhurst_protest_2019,formal_protest_signature; recorded_negative_vote,overture_15_negative_votes_2022::print_order:25; warhurst_protest_2019::print_order:75
justin-grimm,Justin Grimm,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:664; warhurst_protest_2019::print_order:142
justin-smith,Justin Smith,2,2,overture_15_negative_votes_2022; warhurst_protest_2019,overture_15_negative_votes_2022; warhurst_protest_2019,formal_protest_signature; recorded_negative_vote,overture_15_negative_votes_2022::print_order:165; warhurst_protest_2019::print_order:73
keith-winder,Keith Winder,2,2,a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2022-03-14::signature:584; overture_15_negative_votes_2022::print_order:192
kyle-bobos,Kyle Bobos,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:18; overture_15_negative_votes_2022::print_order:15
leeeric-fesko,LeeEric Fesko,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:48; overture_15_negative_votes_2022::print_order:52
loren-bell,Loren Bell,2,2,nae_withdrawal_protest_2022; warhurst_protest_2019,nae_withdrawal_protest_2022; warhurst_protest_2019,formal_protest_signature,nae_withdrawal_protest_2022::print_order:12; warhurst_protest_2019::print_order:19
luke-brodine,Luke Brodine,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:703; warhurst_protest_2019::print_order:166
luke-calvin,Luke Calvin,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:670; warhurst_protest_2019::print_order:20
lyndon-jost,Lyndon Jost,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:80; overture_15_negative_votes_2022::print_order:79
mac-purdy,Mac Purdy,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:135; overture_15_negative_votes_2022::print_order:141
mark-coddington,Mark Coddington,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:31; overture_15_negative_votes_2022::print_order:31
marshall-wilmhoff,Marshall Wilmhoff,2,2,a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2022-03-14::signature:565; overture_15_negative_votes_2022::print_order:191
matt-lietzen,Matt Lietzen,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:109; overture_15_negative_votes_2022::print_order:112
matt-luchenbill,Matt Luchenbill,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:112; overture_15_negative_votes_2022::print_order:116
matthew-armstrong,Matthew Armstrong,2,2,a_faithful_pca_2022-03-14; national_partnership_confirmed_members,a_faithful_pca; national_partnership,formal_organization_membership; public_letter_signature,a_faithful_pca_2022-03-14::signature:634; national_partnership_confirmed_members::confirmed_member:101:matthew armstrong
michael-phillips,Michael Phillips,2,2,nae_withdrawal_protest_2022; warhurst_protest_2019,nae_withdrawal_protest_2022; warhurst_protest_2019,formal_protest_signature,nae_withdrawal_protest_2022::print_order:130; warhurst_protest_2019::print_order:180
mike-tilley,Mike Tilley,2,2,nae_withdrawal_protest_2022; national_partnership_confirmed_members,nae_withdrawal_protest_2022; national_partnership,formal_organization_membership; formal_protest_signature,nae_withdrawal_protest_2022::print_order:179; national_partnership_confirmed_members::confirmed_member:107:mike tilley
nate-conrad,Nate Conrad,2,2,a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:704; nae_withdrawal_protest_2022::print_order:33
nathan-dicks,Nathan Dicks,2,2,a_faithful_pca_2022-03-14; ruf_campus_catalog_2025,a_faithful_pca; institution_reformed-university-fellowship,public_letter_signature; ruf_campus_role_snapshot,a_faithful_pca_2022-03-14::signature:724; ruf_campus_catalog_2025::catalog-role:24:page:29
nathan-tircuit,Nathan Tircuit,2,2,a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2022-03-14::signature:723; overture_15_negative_votes_2022::print_order:181
omar-ortiz,Omar Ortiz,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:126; overture_15_negative_votes_2022::print_order:131
omari-hill,Omari Hill,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:577; warhurst_protest_2019::print_order:123
owen-tarantino,Owen Tarantino,2,2,a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:648; nae_withdrawal_protest_2022::print_order:173
pablo-rosales,Pablo Rosales,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:146; overture_15_negative_votes_2022::print_order:148
philip-kruis,Philip Kruis,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:563; warhurst_protest_2019::print_order:145
robert-binion,Robert Binion,2,2,overture_37_minority_2021; warhurst_protest_2019,overture_37_minority_2021; warhurst_protest_2019,formal_protest_signature; minority_report_signature,overture_37_minority_2021::print_order:1; warhurst_protest_2019::print_order:134
ross-dixon,Ross Dixon,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:676; warhurst_protest_2019::print_order:67
sam-kim,Sam Kim,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:88; overture_15_negative_votes_2022::print_order:89
samuel-haist,Samuel Haist,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:60; overture_15_negative_votes_2022::print_order:60
shane-hatfield,Shane Hatfield,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:706; warhurst_protest_2019::print_order:153
steve-dowling,Steve Dowling,2,2,formal_position_2009-overture-10-women-roles-study-minority-report; overture_15_minority_2022,ga_2009_formal_positions; overture_15_minority_2022,formal_report_concurrence; minority_report_signature,formal_position_2009-overture-10-women-roles-study-minority-report::2009-overture-10-women-roles-study-minority-report:signer:3; overture_15_minority_2022::print_order:5
steven-nicoletti,Steven Nicoletti,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:123; overture_15_negative_votes_2022::print_order:127
timothy-udouj,Timothy Udouj,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:184; overture_15_negative_votes_2022::print_order:184
tino-imbesi,Tino Imbesi,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:75; overture_15_negative_votes_2022::print_order:73
titus-bagby,Titus Bagby,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:725; warhurst_protest_2019::print_order:156
todd-phillips,Todd Phillips,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:707; warhurst_protest_2019::print_order:150
todd-teller,Todd Teller,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:175; overture_15_negative_votes_2022::print_order:175
tom-drury,Tom Drury,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:42; overture_15_negative_votes_2022::print_order:44
tony-howard,Tony Howard,2,2,a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022,a_faithful_pca; nae_withdrawal_protest_2022,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:637; nae_withdrawal_protest_2022::print_order:70
travis-marsh,Travis Marsh,2,2,a_faithful_pca_2022-03-14; warhurst_protest_2019,a_faithful_pca; warhurst_protest_2019,formal_protest_signature; public_letter_signature,a_faithful_pca_2022-03-14::signature:610; warhurst_protest_2019::print_order:168
william-brooke,William Brooke,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:24; overture_15_negative_votes_2022::print_order:20
won-kwak,Won Kwak,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:101; overture_15_negative_votes_2022::print_order:96
woonny-kim,Woonny Kim,2,2,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,nae_withdrawal_protest_2022; overture_15_negative_votes_2022,formal_protest_signature; recorded_negative_vote,nae_withdrawal_protest_2022::print_order:91; overture_15_negative_votes_2022::print_order:91
zach-pummill,Zach Pummill,2,2,a_faithful_pca_2022-03-14; overture_15_negative_votes_2022,a_faithful_pca; overture_15_negative_votes_2022,public_letter_signature; recorded_negative_vote,a_faithful_pca_2022-03-14::signature:654; overture_15_negative_votes_2022::print_order:140
